location	species	no_inds
49_Palms	Big_brown_bat	6
Barker_Dam	Big_brown_bat	51
Cottonwood	Big_brown_bat	9
Cow_Camp	Big_brown_bat	3
Keys_Ranch	Big_brown_bat	22
Willow_Hole	Big_brown_bat	2
Barker_Dam	Californian_myotis	6
Cottonwood	Californian_myotis	21
Cow_Camp	Californian_myotis	1
Keys_Ranch	Californian_myotis	2
Willow_Hole	Californian_myotis	1
49_Palms	Canyon_bat	9
Barker_Dam	Canyon_bat	20
Cottonwood	Canyon_bat	13
Cow_Camp	Canyon_bat	15
Keys_Ranch	Canyon_bat	5
Willow_Hole	Canyon_bat	1
Barker_Dam	Long-legged_myotis	1
Cow_Camp	Long-legged_myotis	1
Barker_Dam	Mexican_free-tailed_bat	22
Cow_Camp	Mexican_free-tailed_bat	4
Keys_Ranch	Mexican_free-tailed_bat	7
49_Palms	Pallid_bat	1
Barker_Dam	Pallid_bat	4
Cottonwood	Pallid_bat	19
Keys_Ranch	Pallid_bat	2
Willow_Hole	Pallid_bat	3
Barker_Dam	Pocketed_free-tailed_bat	3
49_Palms	Townsend's_big-eared_bat	2
Cottonwood	Townsend's_big-eared_bat	2
Cow_Camp	Townsend's_big-eared_bat	1
Willow_Hole	Townsend's_big-eared_bat	4
Barker_Dam	Western_mastiff_bat	9
Cow_Camp	Western_mastiff_bat	2
Keys_Ranch	Western_mastiff_bat	8
49_Palms	Western_yellow_bat	1
Cottonwood	Western_yellow_bat	1
Keys_Ranch	Western_yellow_bat	1
Keys_Ranch	Yuma_myotis	1
