Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Canidae,93354,180610,Active,Urocyon littoralis,Channel Islands Gray Fox,"Urocyon littoralis littoralis, Urocyon littoralis santacruzae, Urocyon littoralis santarosae",Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,SU,CA: ST,,G3,CA: S1
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Mephitidae,154133,-501824,Inactive,Spilogale gracilis amphiala,Spotted Skunk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5T3,CA: S3
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Mustelidae,107235,202390,Active,Enhydra lutris nereis,Sea Otter,,Accepted,No,Approved,Present,,Native,,Unknown,,,,,,,,T,CA: FP,,G4T2,CA: S2
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93382,180636,Active,Arctocephalus townsendi,Guadalupe Fur Seal,,Accepted,No,Approved,Present,,Native,,Occasional,Resident,,,1,,,,T,"CA: FP,ST",,G1,CA: S1
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93372,180627,Active,Callorhinus ursinus,Northern Fur Seal,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G3,CA: S1
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93370,180625,Active,Eumetopias jubatus,"Northern Sea Lion, Stellar Sea Lion",,Accepted,No,Approved,Present,,Native,,Occasional,Migratory,,,1,,,,DM,,,G3,CA: S2
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93366,180621,Active,Zalophus californianus,California Sea Lion,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Phocidae,95017,180672,Active,Mirounga angustirostris,Northern Elephant Seal,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,Harbor Seal,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenidae,389163,612591,Active,Eubalaena japonica,North Pacific Right Whale,,Accepted,No,Approved,Not In Park,,Native,,,,,,,,,,E,,,G1,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92600,180524,Active,Balaenoptera acutorostrata,Minke Whale,,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,,,,,,,,G5,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526,Active,Balaenoptera borealis,Rorqual (Sei Whale),,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,,,,,E,,,G5?,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92604,180528,Active,Balaenoptera musculus,Blue Whale,,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,,,,,E,,,G3G4,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92603,180527,Active,Balaenoptera physalus,Finback Whale,,Accepted,No,Approved,Present,,Native,,Unknown,Migratory,,,,,,,E,,,G3G4,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,Humback Whale,,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,,,,,RT,,,G4,CA: SNR
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Delphinidae,92504,180438,Active,Delphinus delphis,Common Dolphin,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,,,,,,,,G5,
,CHIS,Channel Islands National Park,Mammal,1,Cetacea,Delphinidae,92525,180457,Active,Grampus griseus,Risso Dolphin,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,,,,,,,,G5,
