Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,DEVA,Death Valley National Park,Mammal,1,,,773263,-9802443,Inactive,Perognathus formosus formosus,,,Undecided,No,In Review,,,,,,,,,3,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,,,773164,-9802703,Inactive,Perognathus formosus mohavensis,,,Undecided,No,In Review,,,,,,,,,4,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,,,773116,-9802907,Active,Perognathus penicillatus stephensi,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,,,773622,-9802518,Active,Pitymys nemoralis,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,,Aplodontidae,773027,-9803177,Active,Aplodontoids,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,,773021,-9802415,Active,Agriochoerus,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,,772920,-9803142,Active,Leptomeryx blacki,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,,773509,-9802673,Active,Poabromylus robustus,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,773270,-9802404,Active,Adenota kob thamosi,,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,"Feral Cattle, Domestic Cattle",,Accepted,No,Approved,Not In Park,Historical,Non-native,Cultivated,,Breeder,,,3,2,1,,,,,G5,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,"domestic goat, Goat, goat (feral)",,Accepted,No,Approved,Unconfirmed,,Non-native,,,,,,2,3,,,,,,GNA,CA: SNA
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,412718,625079,Active,Connochaetes taurinus,"blue wildebeest, Blue Wildebeest",,Undecided,No,In Review,,,,,,,,,2,,,,,,,,
,DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,95058,180709,Active,Ovis,sheep,,Undecided,No,In Review,,,,,,,,,2,,,,,,,,
