Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Bovidae,264830,552475,Active,Ovis aries,"feral sheep, red sheep",,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,1,,,,,,,G5,
,JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Bovidae,156653,-503145,Inactive,Ovis canadensis cremnobates,peninsular bighorn,,Accepted,No,Approved,Not In Park,False Report,Native,,,,,,1,,,,,,,,
,JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Bovidae,152594,-501756,Inactive,Ovis canadensis nelsoni,Nelson's bighorn sheep,Ovis canadensis,Accepted,No,Approved,Present,,Native,,Common,"Exploitation Concern, Management Priority; Breeder",,,13,,4,,,,,G4T4,CA: S3
,JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,6,,1,,,,,G5,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,"Canis latrans latrans, Canis latrans mearnsi",Accepted,No,Approved,Present,,Native,,Common,Management Priority; Breeder,,,13,,4,,SC,,,G5,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,8,,4,,,,,G5,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,kit fox,Vulpes macrotis arsipus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,6,,1,,,,,G4,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,"Felis rufus, Felis rufus baileyi",Accepted,No,Approved,Present,,Native,,Common,Breeder,,,11,,3,,RT,,,G5,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,cougar,Felis concolor,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,5,,,,,CA: SC,,G5,CA: SNR
,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,western spotted skunk,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,5,6,,,,,,G5,CA: SNR
