Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,LAVO,Lassen Volcanic National Park,Mammal,1,,,745916,-9786441,Active,Clethrionomys californicus mazama,,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,745895,-9786420,Inactive,Clethrionomys gapperi mazama,,,Undecided,No,In Review,,,,,,,,,,,3,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,672478,-744894,Active,Clethrionomys occidentalis,"western red-backed mouse, western red-backed vole",,Undecided,No,In Review,,,,,,,,,2,,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,155967,-501643,Active,Erethizon dorsatum epixanthum,"common porcupine, North American porcupine, porcupine, yellow-haired porcupine","Erethizon epixanthum epixanthum, Erethizon dorsatum",Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,14,,1,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,672534,-744920,Active,Eutamias senex,Allen's chipmunk,,Undecided,No,In Review,,,,,,,,,1,,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,672542,-744924,Active,Eutamias townsendi,Townsend chipmunk,,Undecided,No,In Review,,,,,,,,,6,,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,672544,-744925,Active,Eutamias townsendii,,,Undecided,No,In Review,,,,,,,,,5,,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,,,672597,-744950,Inactive,Lutra canadensis brevipilosus,"California otter, northern river otter",Lutra canadensis,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,9,1,,,,,,,
,LAVO,Lassen Volcanic National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Accepted,No,Approved,Probably Present,,Native,,,,,,5,,,,,,,G5,CA: SNR
,LAVO,Lassen Volcanic National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"American bison, American Bison, bison",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G4,CA: SNR
