Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,domestic cow,,Accepted,No,Approved,Present,,Non-native,,Rare,Vagrant,,,,,,,,,,G5,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,domestic goat,,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,,3,,,,,,GNA,CA: SNA
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,1,233,6,,SC,,,G4,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",Odocoileus hemionus californicus,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,2384,2,,,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,domestic pig,,Accepted,No,Approved,Present,,Non-native,,Rare,Management Priority,,,1,1,,,,,,G5,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,751,4,,SC,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Accepted,No,Approved,Not In Park,False Report,Unknown,,,Management Priority,,,,6,,,E,CA: SE,,G5,CA: S1
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Urocyon cinereoargenteus californicus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,537,3,,,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,,11,,,,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,domestic cat,,Accepted,No,Approved,Probably Present,,Non-native,,,Management Priority,,,,12,,,,,,,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,488,2,,RT,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, mountain lion, Puma",Felis concolor,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Breeder,,,1,397,1,,,CA: SC,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,1,86,1,,,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"Eastern Spotted Skunk, spotted skunk",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,68,2,,SU,,,G4,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,Gulo luscus,Accepted,No,Approved,Unconfirmed,Historical,Native,,,Management Priority; Breeder,,,1,49,1,,,"CA: FP,ST",,G4,CA: S1
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"common otter, North American River Otter, northern river otter, river otter",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,3,,,RT,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,"American Marten, marten",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,466,1,,,,,G5,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,Fisher,"Martes pennanti pacifica, Pekania pennanti",Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,1,123,2,,"E,RT",,,,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,24,1,,,,,GNR,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,207,3,,,,,,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,"American Mink, mink",,Accepted,No,Approved,Unconfirmed,,Native,,,Management Priority,,,,4,,,,,,,
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, badger",,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,1,27,1,,SC,CA: SSC,,G5,CA: S3
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,135,3,,SC,,,G5,CA: SNR
,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, northern raccoon, Raccoon",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,89,2,,,,,G5,CA: SNR
