Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Bovidae,891494,898931,Active,Ovis canadensis sierrae,Sierra Nevada bighorn sheep,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,,,,,E,"CA: FP,SE",,G4T2,CA: S2
,YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Cervidae,731246,-9756998,Active,Cervus nannodes,,,Undecided,No,In Review,Not In Park,Historical,Non-native,,,,,,,,1,,,,,,
,YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer","Odocoileus hemionus californicus, Dama hemionus californica",Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,176,9,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"pig, pig (feral), wild boar, Wild Boar",,Accepted,No,Approved,Unconfirmed,Adjacent,Non-native,,,,,,1,,,,,,,G5,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans lestes,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,141,10,,SC,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Undecided,No,In Review,Not In Park,False Report,Unknown,,,,,,2,12,,,E,CA: SE,,G5,CA: S1
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,74,,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,634054,726953,Active,Vulpes vulpes necator,Sierra Nevada red fox,Vulpes vulpes,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Breeder,,,1,20,,,RT,CA: ST,,G5T1T2,CA: S1
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Lynx rufus californicus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,276,6,,RT,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,416,,,,CA: SC,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis occidentalis,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,10,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,spotted skunk,"Spilogale gracilis, Spilogale putorius gracilis",Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,16,4,,SU,,,G4,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,29,,,,"CA: FP,ST",,G4,CA: S1
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,river otter,,Accepted,No,Approved,Present,,Unknown,,Rare,Breeder,,,1,33,,,RT,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,"American Marten, marten","Martes americana sierrae, Martes caurina sierrae",Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,129,6,,,,,G5,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,Mustela erminea muricus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,15,9,,,,,GNR,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,"Mustela frenata arizonensis, Mustela frenata nevadensis",Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,71,5,,,,,,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,Mustela vison,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,2,,,,,,,
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,950237,,Inactive,Pekania pennanti,fisher,Martes pennanti,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,19,1,,"E,RT",,,G5,CA: S2S3
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,31,,,SC,CA: SSC,,G5,CA: S3
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,85,5,,SC,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,33,,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,275,2,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown Bear, Grizzly Bear",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,1,,,,,,G4,CA: SX
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,western mastiff bat,Eumops perotis californicus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,1,6,,,,,G4G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Mexican free-tailed bat,Tadarida brasiliensis mexicana,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,5,2,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrozous pallidus pacificus,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,8,7,,SC,CA: SSC,,G4,CA: S3
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,Plecotus townsendii,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,,,,CA: SSC,,G4,CA: S2
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,Eptesicus fuscus bernardinus,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,5,12,,SC,,,G5,CA: SNR
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,13,,,SC,CA: SSC,,G4,CA: S3
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,3,4,,,SC,,,G3G4,CA: S3S4
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,western red bat,Lasiurus borealis,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,1,1,,,SC,CA: SSC,,G4,CA: S3
,YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",Lasiurus cinereus cinereus,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,2,,1,,SU,,,G3G4,CA: S4
